,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies2,aggregate_tax_rate3
Entertainment,110,1.4497950169593838,0.1249178240073874,0.7502973046778402,0.578095571351251,0.058800000000000005,0.0344857737154456,0.0441,0.24970269532215983,0.1047373955226708,0.1047373955226707,1.2462224080092748,0.2082225616005779,5.985049835280751,6.962718188725616,0.33280500111802513,1.1602037973929984,0.06902348253686368,0.688274441827099,0.578095571351251,0.25732913893489373,1.2140124334135816,1.2017030374551592,0.84,0.9642484762875171,1.0932372710331066,16613.988999999998,3504.639,4032.532000000002,1.150626926196964,0.21094506563113774,0.4447082514398206,0.24271907246357285,0.7850353686531889
Environmental & Waste Services,62,1.0153454106826958,0.09911151739455212,0.7965811608678373,0.48087346767746236,0.055,0.05421100591235166,0.04125,0.20341883913216274,0.08734139469572688,0.08734139469572688,0.8591109527629267,0.2164026460616108,3.969965101620495,4.691926966519727,0.25536486314909534,0.8521403775164632,0.008113707809271745,0.6156615678292375,0.48087346767746236,0.13314926778396013,0.9601751957992237,1.0485101305295534,0.82,1.086182979964372,0.9547958518112152,6606.469999999999,1460.9679999999996,976.708,0.6685348344385368,0.22114200170438975,0.23859723681657688,0.14784113149685083,0.1583091868012033
Farming/Agriculture,39,1.1403135761675725,0.10653462642435381,0.7470118768458949,0.5442670958617369,0.058800000000000005,0.06635461534211075,0.0441,0.2529881231541051,0.09073940746542884,0.09073940746542886,0.9310497068082925,0.26728981078067304,3.4832966662252356,4.266206679697441,0.33866680168767294,0.9093408963975123,0.02331648917564196,0.5890289174435183,0.5442670958617369,0.2608998731092537,0.49587806644422544,0.6274511480684076,0.68,0.8478652069247063,0.7164488256491264,19423.901000000005,3891.3010000000004,3787.0739999999996,0.9732153847774817,0.20033571011302,0.211848761589993,0.19496979520231278,0.20704948440655882
Financial Svcs. (Non-bank & Insurance),223,0.8857250736377152,0.09141206937408028,0.09054720374804681,0.2714530650370676,0.055,0.1460858554783109,0.04125,0.9094527962519532,0.04579203511603851,0.045792035116038576,0.10617474510192053,0.2950585022364611,0.3598430287456406,3.0018625693690115,10.043963353993375,0.10380029609017566,0.0223635951229793,0.33784250120258325,0.2714530650370676,0.6167037912205172,0.07561533503134525,0.09826313785398752,0.11,0.15175874715602064,0.10836239302865477,136450.81999999983,28491.87200000001,22331.682999999994,0.7837913563559455,0.2088068946745798,0.21657977844448056,0.16366103919346195,0.182658241562459
Food Processing,92,0.9175202331173958,0.09330070184717332,0.7760488356800411,0.3422878341543323,0.055,0.07736930904283144,0.04125,0.22395116431995887,0.08164388656482782,0.0816438865648279,0.7686726756486479,0.212412591837733,3.6187716980349975,4.319519032178239,0.2885787002356797,0.7542704446992685,0.0187364939663376,0.4866088668527545,0.3422878341543323,0.16971271691317583,0.6114219919250382,0.6968082479529737,0.53,0.632413845750539,0.6478633522554398,26368.217000000004,5246.152,6901.425,1.3155213573682196,0.19895740390789407,0.2102760614247699,0.26173271404737,0.27882914163244094
Food Wholesalers,14,1.1237058272854066,0.10554812614075315,0.6841982947767049,0.32418308733551454,0.055,0.11937255281975857,0.04125,0.3158017052232951,0.08524266826284077,0.08524266826284066,0.8457047174503761,0.36632136499336526,2.3086415324579646,3.0675410573056774,0.4615645897310518,0.8347407488346607,0.012964298755208017,0.4792931471704661,0.32418308733551454,0.25632423585379177,1.234429635135682,0.6577661732913673,0.8,1.083475210571128,0.9242751472897108,3119.4,694.2,505.65,0.7283923941227312,0.22254279669167149,0.22490964100458283,0.1620984804770148,0.16323696331792806
Furn/Home Furnishings,32,1.2708955631991046,0.11429119645402681,0.6412879064624171,0.41911842205905825,0.055,0.1267222401825311,0.04125,0.35871209353758293,0.08809043595951298,0.08809043595951294,0.9519122322245162,0.34073930148839215,2.7936672642881044,3.729817950696244,0.5593620118557551,0.8952985602812457,0.05947362585200794,0.5483600453060752,0.41911842205905825,0.24912194882957625,0.6678086467719215,0.8183273103323906,0.78,0.9930686395536672,0.8422233657764991,3134.799000000001,1027.66,1125.188,1.0949029834770254,0.32782325118771566,0.5438147640006441,0.3589346557785682,0.5734540732390002
Green & Renewable Energy,19,1.60070111091836,0.13388164598855057,0.45225048176820115,0.6759835919999633,0.0701,0.06727922973761617,0.052575,0.5477495182317988,0.08934596981927857,0.08934596981927867,0.8771923185242169,0.22501041371010932,3.8984520941077054,7.11389790599031,1.2111640347849206,0.8387778956397639,0.04379247523402989,0.6770603046757789,0.6759835919999633,0.6282189602833063,0.7987630939198215,0.593772952019942,0.68,1.0952567764169068,0.8089970281761776,2471.19,347.06,95.87899999999999,0.2762605889471561,0.1404424588963212,0.14810753519766678,0.03879871640788446,0.04087717151580086
Healthcare Products,254,1.1623831948690986,0.10784556177522446,0.8880773304789813,0.5094012253760996,0.058800000000000005,0.03696751928901867,0.0441,0.1119226695210187,0.10071098833122433,0.10071098833122427,1.0971029719882097,0.2874303858205123,3.816934555671169,4.044051193651308,0.12602806724123175,1.062001680471524,0.0319945277817212,0.5938554268008396,0.5094012253760996,0.3009797999987402,1.0412420580286896,0.9818186838686335,0.8,0.9123800188457021,0.966508746546247,27444.918999999998,4253.457999999999,6427.905000000005,1.511218636695133,0.15498161973077781,0.22960133209855402,0.23421111208234957,0.35403723526540576
Healthcare Support Services,131,1.1603652760592904,0.10772569739792186,0.809025891950003,0.47792508451312243,0.055,0.06742278274865686,0.04125,0.19097410804999704,0.09503056038035224,0.09503056038035229,1.0725471879998554,0.2600301164398373,4.124703717724976,4.462426475618496,0.23605438336428305,0.9858326817212415,0.08084912929595559,0.5635984031690817,0.47792508451312243,0.27585814850670065,1.0266507370055664,0.9462382149452834,0.74,0.9498469507729029,0.9470566181447216,67809.81599999999,14939.722999999994,15428.422000000004,1.03271138293528,0.22031799938817112,0.2642151093407232,0.22752490583369236,0.2776896357482259
