,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_euros,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201721,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Entertainment,200,1.0051542736144723,0.11368399338427819,0.7681694752203547,0.412715833070783,0.0657,0.06953797705118964,0.04938669,0.23183052477964528,0.09877791579878492,0.08795251761357514,0.8963245931845649,0.20970173493999225,4.274283154791519,4.793256831671444,0.3017960648763648,0.8192900494542672,0.08594491807549373,0.4338515435749655,0.412715833070783,0.5897536771631242,1.0376041024713476,1.04,0.86,0.93,0.9527857391311825,2896.5390000000007,830.5249999999997,1018.9449999999998,1.2268685470034015,0.28673012861211244,1.0873311589425223,0.35178017627244085,1.1890436375730067
Environmental & Waste Services,54,1.1692766676861863,0.12591111174262087,0.7309439884323262,0.37622058176273016,0.0657,0.1270270541172576,0.04938669,0.2690560115676738,0.10532175604102872,0.09443188652338308,1.0393064645303247,0.25787588841629927,4.030258396444305,4.534261325737351,0.36809388383469016,0.9158613403032222,0.11877644221417294,0.3896239201887487,0.37622058176273016,0.4105675626390425,0.769395374301571,0.8,0.82,0.94,0.8737403677663791,1839.8769999999997,393.04000000000025,396.12,1.0078363525340925,0.21362297588371412,0.25066232675130024,0.2152970008321209,0.2552148567364043
Farming/Agriculture,50,0.8320584204388969,0.10078835232269781,0.5898204307833024,0.30233813943957166,0.0657,0.14286140837940345,0.04938669,0.4101795692166976,0.07970444061415147,0.06906695844061295,0.5922657789429788,0.22695204521263782,2.6096516486029824,3.666230104510923,0.6954312665499987,0.5464162305825612,0.07741380642022867,0.33834329471180624,0.30233813943957166,0.23400644282563784,0.4252749362401379,0.45,0.43,0.55,0.48950814303662327,4884.031999999998,1187.4379999999999,1037.9310000000003,0.8740927947395993,0.24312658066122422,0.24723569149585115,0.2125151923656521,0.21462104873545074
Financial Svcs. (Non-bank & Insurance),139,0.9601144369224899,0.11032852555072549,0.13406780121323914,0.3392229117779889,0.0657,0.12488639307044469,0.04938669,0.8659321987867609,0.05755702789418458,0.047137746831187766,0.2491729799474152,0.2377575708257746,1.0480128101998722,4.038207631360972,6.458912512553763,0.1639773623901916,0.34191354766958704,0.37397630756018513,0.3392229117779889,0.5639440700618437,0.2322084415260943,0.26,0.27,0.33,0.2682762842947019,30914.664999999986,5733.832000000001,5100.295999999999,0.8895091450185493,0.18547288155960945,,0.16497982430021485,
Food Processing,167,0.7698820681213214,0.09615621407503844,0.8097998079095863,0.29680864890442626,0.0657,0.1251869747929518,0.04938669,0.19020019209041372,0.0872606416119889,0.07654871410842268,0.6759184649699519,0.19584539659554018,3.4512859465666095,3.9310705357618465,0.23487310102159148,0.6543533030508063,0.03190497528441433,0.35776202105919513,0.29680864890442626,0.08431368350612896,0.6273744504096271,0.63,0.6,0.64,0.6346585830759158,35711.23400000002,6343.510999999994,6176.649000000003,0.973695639528332,0.17763348642614787,0.18148182169051286,0.17296095116735535,0.17581809089073616
Food Wholesalers,15,0.7991301890364506,0.09833519908321557,0.20494328583154353,0.28167800529308856,0.0657,0.21034483890606867,0.04938669,0.7950567141684565,0.05941835828806935,0.04898073899459088,0.21929594189928503,0.2667326372956778,0.822156388969347,2.9959970296045952,3.8793986879958897,0.2040604712973934,0.06947447576977384,0.34595580152446487,0.28167800529308856,0.2318565970141444,0.140132772981305,0.17,0.18,0.24,0.189885742976118,561.36,139.232,229.70100000000002,1.649771604228913,0.24802622203220748,,0.4091866182129115,
Furn/Home Furnishings,50,1.0375705052474478,0.11609900264093485,0.6222735877572544,0.2968053285931097,0.0657,0.14415706912694465,0.04938669,0.3777264122427456,0.09090000013465817,0.08015221688210006,0.8205358710080523,0.27616317443339633,2.971199446456048,3.7570921878930092,0.607010195634552,0.7124754106977678,0.13169498632342433,0.39864972642403323,0.2968053285931097,0.21500629355533651,0.7449226533358905,0.93,0.96,0.95,0.8810917048687885,1910.6079999999995,386.286,592.059,1.5326959817337413,0.2021796203093466,0.20108316893895062,0.309879891636589,0.314732979400334
Green & Renewable Energy,63,0.9088445072046558,0.10650891578674686,0.6298022083836374,0.30801700541486204,0.0657,0.10631450853460842,0.04938669,0.37019779161636257,0.08536239394828192,0.07466916839214122,0.682133882268362,0.20820828758042886,3.276209079837229,4.3650736373958114,0.5878000849924943,0.6303325126604645,0.0759401797131637,0.3914913886059393,0.30801700541486204,0.7466820443901904,0.5185181869754704,0.6,0.72,0.68,0.6401304138487665,3479.649999999999,648.5519999999999,3125.9740000000006,4.819928085951475,0.18638426278505024,0.20527961985762935,0.8983587429770239,0.9515656368100068
Healthcare Products,196,1.1800267996464104,0.12671199657365756,0.8299072213847434,0.4207927006581868,0.0657,0.06732295467869272,0.04938669,0.17009277861525662,0.11355952032126758,0.10258849056440789,1.0564128005709996,0.2393995348243517,4.412760456473291,4.9291106622750975,0.2049539686272979,1.0224969358017173,0.03210474612854988,0.48854613401456104,0.4207927006581868,0.23537328815881742,1.1488733376027416,1.14,0.89,0.89,1.025057227634748,18220.259000000002,4123.528,4377.673000000003,1.0616329026988547,0.2263155534726482,0.2564732048741407,0.2402640379590654,0.2884055345321922
Healthcare Support Services,44,0.853643649378178,0.10239645187867426,0.5304793270521511,0.2773571765193834,0.0657,0.17831189337994102,0.04938669,0.46952067294784894,0.07750727280859389,0.06689143760850924,0.5378938875665377,0.24926322152885091,2.1579352311479263,3.4246674826008108,0.8850875972056317,0.5126002639723443,0.04702344491889134,0.37607604475589046,0.2773571765193834,0.12768288312141607,0.6950779339591548,0.63,0.52,0.56,0.5885943643051385,6132.554,1523.6100000000001,1576.6239999999998,1.0347949934694571,0.24844624278889352,0.25425814969767924,0.2570909281842442,0.2617425854149211
